"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\surtido_cf\package-lock.json", "JSON", 0, 0, 0, 0, 2431, 0, 0, 0, 1, 2432
"c:\xampp\htdocs\surtido_cf\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\xampp\htdocs\surtido_cf\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\xampp\htdocs\surtido_cf\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\surtido_cf\public\css\estilos.css", "CSS", 0, 0, 0, 258, 0, 0, 0, 4, 116, 378
"c:\xampp\htdocs\surtido_cf\public\index.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 3, 6, 18
"c:\xampp\htdocs\surtido_cf\public\js\update_factura.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\xampp\htdocs\surtido_cf\public\js\update_nota.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\xampp\htdocs\surtido_cf\resources\css\app.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\js\app.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\xampp\htdocs\surtido_cf\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\xampp\htdocs\surtido_cf\resources\views\auth\confirm-password.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\xampp\htdocs\surtido_cf\resources\views\auth\forgot-password.blade.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\surtido_cf\resources\views\auth\login.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\xampp\htdocs\surtido_cf\resources\views\auth\register.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\xampp\htdocs\surtido_cf\resources\views\auth\reset-password.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"c:\xampp\htdocs\surtido_cf\resources\views\auth\verify-email.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\xampp\htdocs\surtido_cf\resources\views\components\application-logo.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\auth-session-status.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\surtido_cf\resources\views\components\danger-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\xampp\htdocs\surtido_cf\resources\views\components\input-error.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\surtido_cf\resources\views\components\input-label.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\surtido_cf\resources\views\components\modal.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 2, 4, 79
"c:\xampp\htdocs\surtido_cf\resources\views\components\nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\surtido_cf\resources\views\components\primary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\responsive-nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\surtido_cf\resources\views\components\secondary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\text-input.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\surtido_cf\resources\views\dashboard.blade.php", "PHP", 0, 308, 0, 0, 0, 0, 0, 15, 71, 394
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\app.blade.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\guest.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\navigation.blade.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 13, 111
"c:\xampp\htdocs\surtido_cf\resources\views\mercado.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
